Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
Aaron Judge,NYY,157,696,62,133,131,16,15.90%,25.10%,0.375,0.34,0.311,0.425,0.686,0.458,0.463,207,2.1,86.1,0.5,11.4,15640
Manny Machado,SDP,150,644,32,100,102,9,9.80%,20.70%,0.234,0.337,0.298,0.366,0.531,0.382,0.338,152,3,41.9,6.9,7.4,11493
Nolan Arenado,STL,148,620,30,73,103,5,8.40%,11.60%,0.241,0.29,0.293,0.358,0.533,0.381,0.339,151,-1.6,35.4,13.5,7.3,9777
Paul Goldschmidt,STL,151,651,35,106,115,7,12.10%,21.70%,0.26,0.368,0.317,0.404,0.578,0.419,0.367,177,3,61.7,-15.8,7.1,9218
Freddie Freeman,LAD,159,708,21,117,100,13,11.90%,14.40%,0.186,0.359,0.325,0.407,0.511,0.393,0.403,157,5.4,52.6,-8.8,7.1,5361
Francisco Lindor,NYM,161,706,26,98,107,16,8.40%,18.80%,0.179,0.301,0.27,0.339,0.449,0.342,0.331,127,3.3,25.4,15.9,6.8,12916
Yordan Alvarez,HOU,135,561,37,95,97,1,13.90%,18.90%,0.306,0.32,0.306,0.406,0.613,0.427,0.462,185,-0.6,52.9,-7.5,6.6,19556
Mookie Betts,LAD,142,639,35,117,82,12,8.60%,16.30%,0.264,0.272,0.269,0.34,0.533,0.373,0.344,144,4.3,37.3,4.1,6.6,13611
Jose Altuve,HOU,141,604,28,103,57,18,10.90%,14.40%,0.233,0.315,0.3,0.387,0.533,0.397,0.354,164,-1.5,41.9,1.6,6.6,5417
J.T. Realmuto,PHI,139,562,22,75,84,21,7.30%,21.20%,0.202,0.318,0.276,0.342,0.478,0.354,0.351,128,6.6,24.9,18,6.5,11739
Dansby Swanson,ATL,162,696,25,99,96,18,7.00%,26.10%,0.17,0.348,0.277,0.329,0.447,0.337,0.337,116,3.1,15.8,21.4,6.4,18314
Trea Turner,LAD,160,708,21,101,100,27,6.40%,18.50%,0.169,0.342,0.298,0.343,0.466,0.35,0.335,128,6.5,29.6,7.1,6.3,16252
Jose Ramirez,CLE,157,685,29,90,126,20,10.10%,12.00%,0.235,0.279,0.28,0.355,0.514,0.363,0.32,139,6,36,1,6.2,13510
Andres Gimenez,CLE,146,557,17,66,69,20,6.10%,20.10%,0.169,0.353,0.297,0.371,0.466,0.364,0.326,140,3.4,28.4,12,6.1,19950
Xander Bogaerts,BOS,150,631,15,84,73,8,9.00%,18.70%,0.149,0.362,0.307,0.377,0.456,0.363,0.323,134,4.7,28.7,9,6.1,12161
Mike Trout,LAA,119,499,40,85,80,1,10.80%,27.90%,0.347,0.323,0.283,0.369,0.63,0.418,0.395,176,-0.3,42.4,-0.7,6,10155
Jeff McNeil,NYM,148,589,9,73,62,4,6.80%,10.40%,0.128,0.353,0.326,0.382,0.454,0.365,0.323,143,2,31.4,4.6,5.9,15362
Tommy Edman,STL,153,630,13,95,57,32,7.30%,17.60%,0.135,0.308,0.265,0.324,0.4,0.318,0.308,108,8.4,14.2,18.4,5.6,19470
Austin Riley,ATL,159,693,38,90,93,2,8.20%,24.20%,0.255,0.315,0.273,0.349,0.528,0.377,0.378,142,-1.7,32.5,-3.1,5.5,18360
Alex Bregman,HOU,155,656,23,93,93,1,13.30%,11.70%,0.195,0.26,0.259,0.366,0.454,0.358,0.35,136,-3,23.7,7.7,5.5,17678
Brandon Nimmo,NYM,151,673,16,102,64,3,10.50%,17.20%,0.159,0.317,0.274,0.367,0.433,0.353,0.342,134,-0.3,26.6,1.9,5.4,12927
Julio Rodriguez,SEA,132,560,28,84,75,25,7.10%,25.90%,0.225,0.345,0.284,0.345,0.509,0.366,0.337,146,4.3,33.4,-0.5,5.3,23697
Adley Rutschman,BAL,113,470,13,70,42,4,13.80%,18.30%,0.191,0.291,0.254,0.362,0.445,0.354,0.342,133,5,22.5,13.1,5.3,26288
Sean Murphy,OAK,148,612,18,67,66,1,9.20%,20.30%,0.177,0.29,0.25,0.332,0.426,0.331,0.344,122,-1.4,13.8,15,5.1,19352
Rafael Devers,BOS,141,614,27,84,88,3,8.10%,18.60%,0.225,0.329,0.295,0.358,0.521,0.373,0.361,141,-1.2,26.8,0.1,4.9,17350
Michael Harris II,ATL,114,441,19,75,64,20,4.80%,24.30%,0.217,0.361,0.297,0.339,0.514,0.368,0.335,136,5.9,24.4,6.7,4.8,25931
Kyle Tucker,HOU,150,609,30,71,107,25,9.70%,15.60%,0.221,0.261,0.257,0.33,0.478,0.348,0.353,129,4,23.9,1.6,4.7,18345
Willy Adames,MIL,139,617,31,83,98,8,7.90%,26.90%,0.22,0.278,0.238,0.298,0.458,0.325,0.323,109,2.4,8.8,14.8,4.7,15986
Daulton Varsho,ARI,151,592,27,79,74,16,7.80%,24.50%,0.207,0.269,0.235,0.302,0.443,0.323,0.298,106,3.4,7.7,16.4,4.6,19918
Corey Seager,TEX,151,663,33,91,83,3,8.70%,15.50%,0.211,0.242,0.245,0.317,0.455,0.331,0.372,117,2.6,15.1,6.7,4.5,13624
Bo Bichette,TOR,159,697,24,91,93,13,5.90%,22.20%,0.179,0.347,0.29,0.333,0.469,0.347,0.334,129,-2.7,20.1,0.2,4.5,19612
Steven Kwan,CLE,147,638,6,89,52,19,9.70%,9.40%,0.101,0.323,0.298,0.373,0.4,0.341,0.312,124,4.9,22,-0.7,4.4,24610
Carlos Correa,MIN,136,590,22,70,64,0,10.30%,20.50%,0.176,0.339,0.291,0.366,0.467,0.362,0.363,140,-6,20.7,2,4.4,14162
George Springer,TOR,133,583,25,89,76,14,9.30%,17.20%,0.205,0.285,0.267,0.342,0.472,0.352,0.342,132,4.6,25.7,-4.1,4.2,12856
Cal Raleigh,SEA,119,415,27,46,63,1,9.20%,29.40%,0.278,0.226,0.211,0.284,0.489,0.33,0.324,121,-1,8.7,18,4.2,21534
Marcus Semien,TEX,161,724,26,101,83,25,7.30%,16.60%,0.181,0.263,0.248,0.304,0.429,0.317,0.306,107,7,12.6,4.1,4.2,12533
Matt Chapman,TOR,155,621,27,83,76,2,11.00%,27.40%,0.204,0.277,0.229,0.324,0.433,0.331,0.341,117,3.1,15.1,4.6,4.1,16505
Jake Cronenworth,SDP,158,684,17,88,88,3,10.20%,19.20%,0.152,0.275,0.239,0.332,0.39,0.318,0.303,109,6.8,13.7,2.3,4.1,18036
Eugenio Suarez,SEA,150,629,31,76,87,0,11.60%,31.20%,0.223,0.302,0.236,0.332,0.459,0.344,0.339,131,-2.5,19.3,-0.3,4.1,12552
Christian Walker,ARI,160,667,36,84,94,2,10.30%,19.60%,0.235,0.248,0.242,0.327,0.477,0.346,0.359,122,-0.3,16.9,-0.4,4.1,13419
Byron Buxton,MIN,92,382,28,61,51,6,8.90%,30.40%,0.303,0.244,0.224,0.306,0.526,0.356,0.358,136,4.3,19.6,6.2,4,14161
Nico Hoerner,CHC,135,517,10,60,55,20,5.40%,11.00%,0.129,0.3,0.281,0.327,0.41,0.32,0.301,106,2.3,6,14.3,4,21479
Pete Alonso,NYM,160,685,40,95,131,5,9.80%,18.70%,0.246,0.279,0.271,0.352,0.518,0.366,0.354,143,-2.5,32,-17.4,4,19251
Will Smith,LAD,137,578,24,68,87,1,9.70%,16.60%,0.205,0.276,0.26,0.343,0.465,0.349,0.352,127,-3.6,14.9,3,3.9,19197
Travis d'Arnaud,ATL,107,426,18,61,60,0,4.50%,21.10%,0.205,0.306,0.268,0.319,0.472,0.343,0.313,120,-3.6,6.1,16.8,3.9,7739
Jose Abreu,CHW,157,679,15,85,75,0,9.10%,16.20%,0.141,0.35,0.304,0.378,0.446,0.361,0.373,138,-1.7,26.9,-11.7,3.9,15676
Taylor Ward,LAA,135,564,23,73,65,5,10.60%,21.30%,0.192,0.325,0.281,0.36,0.473,0.362,0.361,137,0.7,23.9,-5.2,3.8,17548
Shohei Ohtani,LAA,157,666,34,90,95,11,10.80%,24.20%,0.246,0.32,0.273,0.356,0.519,0.37,0.385,142,0.3,31.8,-16.4,3.8,19755
Juan Soto,- - -,153,664,27,93,62,6,20.30%,14.50%,0.21,0.249,0.242,0.401,0.452,0.376,0.401,145,-2.4,32,-17.7,3.8,20123
Alejandro Kirk,TOR,139,541,14,59,63,0,11.60%,10.70%,0.13,0.299,0.285,0.372,0.415,0.347,0.351,129,-7.1,10.4,8.8,3.8,22581
